image_name,corners,centers,left_angle,right angle
CFD-AF-200-228-N.jpg,246.0020325,100.1798383,43.4194731,44.92456123
CFD-AF-201-060-N.jpg,234.0534127,104.0432602,44.35884749,51.95170453
CFD-AF-202-122-N.jpg,295.0016949,97.02061637,34.72582579,37.26427247
CFD-AF-203-077-N.jpg,240.0187493,104.0048076,42.84472438,51.50063104
CFD-AF-204-067-N.jpg,281.0871751,89.0056178,33.3602,37.10429482
CFD-AF-205-155-N.jpg,252.0714185,94.02127419,39.07760296,42.45224232
CFD-AF-206-079-N.jpg,250.049995,96.02083107,38.82721379,45.22386194
CFD-AF-207-023-N.jpg,283.1130516,85.02352616,31.63265221,35.44003286
CFD-AF-208-003-N.jpg,265.4241888,92.00543462,34.50047244,42.41679102
CFD-AF-209-006-N.jpg,278.1150841,102.0784012,37.61584383,42.71570195
CFD-AF-210-050-N.jpg,238.302329,110.1635148,47.38306925,51.94302055
CFD-AF-211-066-N.jpg,246.5197761,81.15417426,34.49967048,38.3239269
CFD-AF-212-097-N.jpg,250.031998,97,39.44824262,44.50452998
CFD-AF-213-126-N.jpg,234,104,43.401999,52.79257589
CFD-AF-214-139-N.jpg,232.1745033,96.04686356,41.77711767,48.03561352
CFD-AF-215-70-N.jpg,237.1349827,103.0048543,43.91560606,50.37476124
CFD-AF-216-106-N.jpg,237.4742091,111.0045044,45.43757356,55.52688512
CFD-AF-217-155-N.jpg,273.1483114,95.0210503,36.99303507,39.81235764
CFD-AF-218-157-N.jpg,272.0294102,107.01869,40.10995442,45.72593107
CFD-AF-219-106-N.jpg,252.051582,103.1746093,41.49061249,47.15668702
CFD-AF-220-107-N.jpg,256.0488235,98,38.67212216,45.38483351
CFD-AF-221-147-N.jpg,263.1539473,92,35.64004267,41.88907956
CFD-AF-222-134-N.jpg,274.0894015,90.00555538,34.08948314,38.58208749
CFD-AF-223-183-N.jpg,261,110,42.87996371,48.86592482
CFD-AF-224-026-N.jpg,258.0484451,101.0198,39.92907871,45.075532
CFD-AF-225-141-N.jpg,255.0490149,95.0210503,38.7707398,43.19080024
CFD-AF-226-251-N.jpg,262.0305326,97.04638066,38.56008837,42.81538921
CFD-AF-227-207-N.jpg,259.0694887,121.0165278,47.32755417,52.98403551
CFD-AF-228-173-N.jpg,249.2007223,108.0740487,44.11520862,49.47413301
CFD-AF-229-160-N.jpg,285.3436525,112.1605991,40.25813939,44.92578025
CFD-AF-230-193-N.jpg,247.008097,88.05112151,37.54357432,41.06402235
CFD-AF-231-357-N.jpg,249.1284809,106.0754448,43.71807063,48.53692363
CFD-AF-232-078-N.jpg,289.0155705,102.0049018,35.24427714,43.17968253
CFD-AF-233-190-N.jpg,247.0020243,114.0043859,46.24275602,52.50473245
CFD-AF-234-208-N.jpg,265.0075471,104.0048076,40.04611147,45.90394638
CFD-AF-235-170-N.jpg,271.001845,103.0048543,39.22668082,43.51964249
CFD-AF-236-145-N.jpg,253.0494023,99.00505038,39.34935677,45.73221505
CFD-AF-237-223-N.jpg,250.0719896,88.141931,36.4098064,40.62341792
CFD-AF-238-185-N.jpg,250.049995,107,43.18023548,49.59831461
CFD-AF-239-171-N.jpg,266.0169168,95,36.01378653,40.21570427
CFD-AF-240-206-N.jpg,244.0327847,109.0183471,44.87287929,51.89191055
CFD-AF-241-141-N.jpg,258.156929,101.0445446,38.78429518,47.23124154
CFD-AF-242-158-N.jpg,254.0314941,107.01869,43.52850542,48.03028405
CFD-AF-243-170-N.jpg,270.1499584,116.068945,43.08859145,48.57711315
CFD-AF-244-168-N.jpg,269,99.02019996,36.54451806,41.52040297
CFD-AF-245-143-N.jpg,272.1837615,91.08786966,35.05281257,37.63223253
CFD-AF-246-242-N.jpg,292.027396,96.0832972,33.68166524,37.24615528
CFD-AF-247-278-N.jpg,273.0018315,107.0420478,39.49615228,46.19697225
CFD-AF-248-148-N.jpg,285.0438563,103.0194156,36.00445324,42.70320484
CFD-AF-249-092-N.jpg,252.0019841,103.0436801,41.34535385,48.03436151
CFD-AF-250-200-N.jpg,288.0017361,94,34.21033272,37.88439749
CFD-AF-251-093-N.jpg,268.0466377,105,39.8179986,45.20757649
CFD-AF-252-135-N.jpg,276.1159177,90.00555538,33.92100093,36.90630674
CFD-AF-253-130-N.jpg,247.0728637,102.0441081,40.90497968,47.48955292
CFD-AF-254-167-N.jpg,252.0079364,90.02221948,36.82538677,41.36187144
CFD-AF-255-209-N.jpg,245.0999796,111.0405331,45.57387192,51.55078611
CFD-AF-256-160-N.jpg,251.1613028,87.02298547,36.5212146,39.80692157
CFD-AM-201-076-N.jpg,232.1378901,119.2686044,53.17853495,55.60593064
CFD-AM-202-079-N.jpg,253.1600284,108.0046295,41.95211043,51.26664431
CFD-AM-203-086-N.jpg,248.07257,111.0180166,45.30042456,51.43985172
CFD-AM-204-122-N.jpg,272.0073528,101.0198,39.06317937,42.35407262
CFD-AM-205-153-N.jpg,286.1118662,100.124922,36.86114084,40.01003723
CFD-AM-206-086-N.jpg,273.0293025,103,38.32925795,44.58472442
CFD-AM-207-108-N.jpg,295,102,35.71564835,40.18083916
CFD-AM-208-143-N.jpg,269.3139432,108,39.77115817,48.36646066
CFD-AM-209-048-N.jpg,263.0684322,98.00510191,37.70320304,44.49116986
CFD-AM-210-035-N.jpg,236.0762589,102.019606,43.68547247,49.84212269
CFD-AM-211-052-N.jpg,265.0924367,97.0051545,36.83192086,43.89359268
CFD-AM-212-050-N.jpg,249.2007223,97.08243919,40.36952069,44.60170416
CFD-AM-213-056-N.jpg,253.0316186,92.08691547,38.71179657,41.33705671
CFD-AM-214-168-N.jpg,286.2516375,82,29.6227233,34.61792134
CFD-AM-215-120-N.jpg,265.0924367,90.04998612,35.18210293,39.07690715
CFD-AM-216-114-N.jpg,279.0017921,76.00657866,28.50925095,32.15713598
CFD-AM-217-085-N.jpg,295.5486424,99.24716621,34.75097922,38.89569765
CFD-AM-218-085-N.jpg,276.1159177,113.039816,40.87298191,48.58963957
CFD-AM-219-101-N.jpg,260.6223321,117.0384552,44.59564655,52.55296659
CFD-AM-220-134-N.jpg,282.1134524,103.0048543,36.62739354,44.25114914
CFD-AM-221-184-N.jpg,256.3298656,92.04890005,36.90028407,42.43839667
CFD-AM-223-138-N.jpg,252.2855525,112.0401714,44.25213238,52.11265747
CFD-AM-224-126-N.jpg,245.5218931,88.141931,35.6216649,41.50750843
CFD-AM-225-102-N.jpg,267.0917445,91.00549434,35.16502805,40.4431383
CFD-AM-226-234-N.jpg,251.390135,95.18928511,38.99474908,44.23853793
CFD-AM-227-184-N.jpg,253.1600284,92.04890005,37.98962634,42.1185984
CFD-AM-228-214-N.jpg,258.0484451,108.0046295,41.47501176,49.91789617
CFD-AM-229-224-N.jpg,259.0482581,121.0371844,46.44412553,52.85452906
CFD-AM-230-150-N.jpg,258.1240012,87.02298547,34.51991186,40.45178371
CFD-AM-231-136-N.jpg,296.0608046,102.0049018,35.88566885,40.33351937
CFD-AM-232-251-N.jpg,257.1944789,97.04638066,38.58637025,44.50642348
CFD-AM-233-236-N.jpg,281.1440912,109.0412766,40.09722466,44.1449026
CFD-AM-234-355-N.jpg,277.0649743,89.0056178,33.2951673,37.93569689
CFD-AM-235-241-N.jpg,270.1184925,74.00675645,29.57179305,31.63646196
CFD-AM-236-090-N.jpg,291.0068728,103.0194156,35.68337828,42.91371914
CFD-AM-237-154-N.jpg,246.3980519,100.079968,40.94146915,47.84213788
CFD-AM-238-269-N.jpg,245.0326509,101.0198,42.75830937,47.05534407
CFD-AM-239-147-N.jpg,280.0642783,106.0188662,38.41124709,44.81925682
CFD-AM-240-191-N.jpg,248.5819784,98.08159868,39.48713589,46.88378673
CFD-AM-241-287-N.jpg,273.016483,91.04943712,33.76049003,38.02997636
CFD-AM-242-176-N.jpg,290.2481697,97.12878049,34.77653541,39.05309697
CFD-AM-243-212-N.jpg,279.5800422,103.1212878,38.27647139,42.82309066
CFD-AM-244-222-N.jpg,279.0286724,92.02173656,34.72809546,38.41068778
CFD-AM-245-111-N.jpg,258.3273118,98.04590761,37.25723331,46.69715619
CFD-AM-246-184-N.jpg,267.0018727,99.00505038,38.48816459,42.87693138
CFD-AM-247-165-N.jpg,255.5014677,94.08506789,38.35454944,42.46448511
CFD-AM-248-104-N.jpg,280.4567703,93.1933474,34.69693791,38.94968804
CFD-AM-249-163-N.jpg,265.1527861,86.00581376,33.78151773,38.37175033
CFD-AM-250-149-N.jpg,241.3503677,108.0740487,45.3424914,51.4835465
CFD-AM-251-124-N.jpg,258.069758,111.1125555,44.79308712,47.55248779
CFD-AM-252-114-N.jpg,245.0326509,98.00510191,40.41994412,46.63871101
CFD-AM-253-161-N.jpg,252.051582,112.0714058,42.9808761,53.91849544
CFD-BF-001-025-N.jpg,285.0070175,118.0042372,41.48056691,48.75701554
CFD-BF-002-001-N.jpg,256.0019531,115.0695442,45.31588322,49.35263478
CFD-BF-003-003-N.jpg,280.1785145,106.0188662,38.99931148,43.59658013
CFD-BF-004-014-N.jpg,259.4339993,118.0381294,45.56184217,52.44878205
CFD-BF-005-001-N.jpg,292.0154106,91.00549434,31.48689349,36.66528478
CFD-BF-006-017-N.jpg,285.1420699,92.04890005,33.31137783,38.12489245
CFD-BF-007-001-N.jpg,272.0165436,97.04638066,36.86989765,41.95707257
CFD-BF-008-001-N.jpg,249.008032,89.0056178,35.65639493,42.10894981
CFD-BF-009-002-N.jpg,255,92.02173656,36.90094961,42.12331049
