image_name,upper_corner,lower_corner,all_center,upper_angle,middle_angle,lower_angle,lower_distance
CFD-BF-016-021-F.jpg,230.0543414,223.0358716,450.0054943,62.15403964,99.68360869,45.62153037,699.3860962
CFD-BF-017-003-N.jpg,250,246.0020325,431.004065,61.31417839,110.998719,57.64318548,618.2593179
CFD-BF-017-004-HO.jpg,256.0019531,253.0019763,436.0661019,64.24073077,116.989008,56.67740461,637.4611144
CFD-BF-017-007-HC.jpg,256.0488235,254.0492078,430.0641404,64.19554697,119.2200291,58.34601159,623.5600847
CFD-BF-017-011-A.jpg,246.0081299,242.0082643,437.0682254,62.60350381,113.6906894,53.887027,641.3160796
CFD-BF-017-016-F.jpg,252.0079364,248.0020161,459.017876,61.47967072,110.1617216,52.66530204,672.3208041
CFD-BF-018-019-A.jpg,232.0344802,228.019736,329.0649723,58.2773345,112.2746096,84.94641911,410.7526494
CFD-BF-018-039-N.jpg,225.0555487,219.0570702,422.0040322,56.33886362,107.2941243,53.42196174,584.3747126
CFD-BF-018-040-HO.jpg,221.0361961,217.057596,363.0242215,58.56050578,116.9714086,65.25430578,479.2843334
CFD-BF-018-041-HC.jpg,226.0199106,221.0203611,360.0125338,58.94217205,117.8727429,67.7786006,474.968778
CFD-BF-018-044-F.jpg,231.0194797,225.0199991,368.015999,59.08531099,113.6146664,67.115571,491.2829543
CFD-BF-019-001-N.jpg,225.0088887,219.0022831,404.0441222,61.10514208,108.0341472,53.23176873,590.2429994
CFD-BF-019-004-HC.jpg,222.0360331,217.0207363,412.0046728,62.87200163,113.9249747,49.64631839,614.0973074
CFD-BF-019-022-HO.jpg,243.0329196,241.0331927,445.0014286,73.96949025,123.2909331,45.83621472,727.1731347
CFD-BF-019-023-A.jpg,231.0194797,225.0088887,404.0202061,62.60962309,111.2003908,54.36650996,596.653535
CFD-BF-019-025-F.jpg,224.0022321,218.0022936,426.0047169,59.5531501,104.4227739,49.67231592,624.6601937
CFD-BF-020-002-N.jpg,231.0086578,228.0087718,438.0185104,61.12787438,113.2050558,49.88623721,642.9293973
CFD-BF-020-004-HO.jpg,248.1289987,249.1284809,439.0926983,69.30643578,126.9799315,51.35352151,669.483242
CFD-BF-020-016-HC.jpg,256.0956852,258.0949438,462.0173242,70.4746283,128.135004,49.53756952,718.0776365
